COUNTRY,FOUNDED,ID,INDUSTRY,LINKEDIN_URL,LOCALITY,NAME,REGION,SIZE,WEBSITE
,2016,number-nerds-llc,accounting,linkedin.com/company/number-nerds-llc,,"number nerds, llc",,1-10,numbernerds.net
united states,2010,logistics-initiatives,,linkedin.com/company/logistics-initiatives,dallas,logistics initiatives,texas,1-10,
united states,,patrick-jordan,construction,linkedin.com/company/patrick-jordan,saint paul,patrick jordan,minnesota,1-10,
united states,2004,rhema-express-inc.,,linkedin.com/company/rhema-express-inc.,cookeville,"rhema express, inc.",tennessee,11-50,
poland,,sanpro-sandra-hadasz,,linkedin.com/company/sanpro-sandra-hadasz,,sanpro sandra hadasz,,1-10,
india,,aa-&-kk-infra-private-limited,construction,linkedin.com/company/aa-&-kk-infra-private-limited,,aa & kk infra private limited,haryana,1-10,
indonesia,2010,arte-paperindo,printing,linkedin.com/company/arte-paperindo,cengkareng,arte paperindo,jakarta,11-50,
france,,garage-ctelec,retail,linkedin.com/company/garage-ctelec,labruguière,garage ctelec,occitanie,1-10,
ireland,,consulate-general-of-ireland-new-york,government relations,linkedin.com/company/consulate-general-of-ireland-new-york,,consulate general of ireland new york,,11-50,
france,,association-reseda,,linkedin.com/company/association-reseda,clichy,association reseda,ile-de-france,1-10,
brazil,,prefeitura-municipal-de-alagoa-nova,government administration,linkedin.com/company/prefeitura-municipal-de-alagoa-nova,alagoa nova,prefeitura municipal de alagoa nova,paraíba,1-10,
south africa,,hgl-energy-solutions,,linkedin.com/company/hgl-energy-solutions,kathu,hgl energy solutions,northern cape,1-10,
india,,regent-auto-links-private-limited-a-dealer-of-maruti-udyog-limited,,linkedin.com/company/regent-auto-links-private-limited-a-dealer-of-maruti-udyog-limited,ghaziabad,regent auto links private limited a dealer of maruti udyog limited,uttar pradesh,51-200,
united states,1989,wyndham-garden-hotel-buffalo-grove,restaurants,linkedin.com/company/wyndham-garden-hotel-buffalo-grove,buffalo grove,wyndham garden hotel buffalo grove,illinois,11-50,
south africa,,fintech-telecoms,,linkedin.com/company/fintech-telecoms,,fintech telecoms,gauteng,1-10,
norway,,ulvik-herad-næring-og-landbruk,government administration,linkedin.com/company/ulvik-herad-næring-og-landbruk,ulvik,ulvik herad næring og landbruk,hordaland,1-10,
united kingdom,,resource-efficiency-pathway-limited,renewables & environment,linkedin.com/company/resource-efficiency-pathway-limited,london,resource efficiency pathway limited,greater london,1-10,
united kingdom,,real-talent-limited,media production,linkedin.com/company/real-talent-limited,london,real talent limited,greater london,1-10,
united states,2000,g-&-h-properties-l.-l.-c.,,linkedin.com/company/g-&-h-properties-l.-l.-c.,ames,"g & h properties, l. l. c.",iowa,11-50,
united kingdom,2014,ul-global-pharma-ltd,,linkedin.com/company/ul-global-pharma-ltd,watford,ul global pharma ltd,hertford,11-50,
united states,,orange-county-optometric-group,medical practice,linkedin.com/company/orange-county-optometric-group,anaheim,orange county optometric group,california,11-50,
,2013,lovephoto,photography,linkedin.com/company/lovephoto,,lovephoto,,1-10,
brazil,2017,incubadora-de-projetos-sociais-da-universidade-federal-do-pará,facilities services,linkedin.com/company/incubadora-de-projetos-sociais-da-universidade-federal-do-pará,,incubadora de projetos sociais da universidade federal do pará,para,1-10,
france,,entreprise-de-commerce-international,wholesale,linkedin.com/company/entreprise-de-commerce-international,,entreprise de commerce international,,1-10,
,2014,centro-de-estudios-aurora,law practice,linkedin.com/company/centro-de-estudios-aurora,,centro de estudios aurora,,11-50,
united states,,texas-transport-service,transportation/trucking/railroad,linkedin.com/company/texas-transport-service,odessa,texas transport service,texas,11-50,
china,,山东省滨州市瑞恒家纺有限公司,,linkedin.com/company/山东省滨州市瑞恒家纺有限公司,dongsheng,山东省滨州市瑞恒家纺有限公司,inner mongolia,1-10,
france,2001,eds-european-distribution-solutions,logistics and supply chain,linkedin.com/company/eds-european-distribution-solutions,strasbourg,e.d.s european distribution solutions,grand est,11-50,eds-logistic.com
italy,,arsnova-sas,environmental services,linkedin.com/company/arsnova-sas,salerno,arsnova sas,campania,1-10,arsnovasas.it
netherlands,,drenthe-signaal-administratie-adviesbureau,financial services,linkedin.com/company/drenthe-signaal-administratie-adviesbureau,assen,drenthe signaal administratie & adviesbureau,drenthe,11-50,drenthesignaal.nl
canada,2013,morin-music-studio,higher education,linkedin.com/company/morin-music-studio,calgary,morin music studio ltd.,alberta,11-50,morinmusic.ca
turkey,2006,i̇bbaksemsettin,,linkedin.com/company/i̇bbaksemsettin,başakşehir,i̇bb akşemsettin ortaokulu,istanbul,51-200,ibbaksemsettinortaokulu.meb.k12.tr
singapore,2018,lws-network,telecommunications,linkedin.com/company/lws-network,singapore,lifeway singapore pte ltd (lws),central singapore,11-50,lws.network
united states,2013,scully-insurance,insurance,linkedin.com/company/scully-insurance,kent,scully insurance,washington,1-10,scullyinsuranceagency.com
brazil,,instituto-de-cegos-da-bahia,medical practice,linkedin.com/company/instituto-de-cegos-da-bahia,salvador,instituto de cegos da bahia,bahia,1-10,
,,lemon-tech,internet,linkedin.com/company/lemon-tech,,lemon tech,,1-10,
china,,合肥安玛尔市场信息咨询有限公司,,linkedin.com/company/合肥安玛尔市场信息咨询有限公司,sheng,合肥安玛尔市场信息咨询有限公司,xizang,1-10,
tunisia,,astre-engineering,mechanical or industrial engineering,linkedin.com/company/astre-engineering,sfax,astre engineering,şafāqis,11-50,
united states,,supply-cabinet-partner-of-indoff,business supplies and equipment,linkedin.com/company/supply-cabinet-partner-of-indoff,manassas,supply cabinet partner of indoff,virginia,201-500,supplycabinet.com
switzerland,2007,global-human-rights-advocacy,civic & social organization,linkedin.com/company/global-human-rights-advocacy,geneva,global human rights,geneve,1-10,ghraa.org
united kingdom,,leon-norell-limited,computer software,linkedin.com/company/leon-norell-limited,harrow,leon norell limited,greater london,1-10,leonnorell.com
spain,,alyes-restauración-social,hospitality,linkedin.com/company/alyes-restauración-social,san fernando de henares,alyes restauración social,madrid,51-200,alyes.es
spain,1998,global-voice-group,telecommunications,linkedin.com/company/global-voice-group,,global voice group,,201-500,globalvoicegroup.com
ireland,,bridgeman-ecosystems,mechanical or industrial engineering,linkedin.com/company/bridgeman-ecosystems,ashbourne,bridgeman ecosystems,meath,1-10,bridgemanecosystems.ie
italy,2019,myfuturely,e-learning,linkedin.com/company/myfuturely,milan,futurely,lombardia,11-50,orientami.online
germany,,ibt-deutschland-gmbh,,linkedin.com/company/ibt-deutschland-gmbh,villingen-schwenningen,ibt deutschland gmbh,baden-wurttemberg,1-10,ibtgmbh.com
united states,1996,lab-x-technologies,computer hardware,linkedin.com/company/lab-x-technologies,rochester,lab x technologies,new york,11-50,labxtechnologies.com
france,,hôtel-restaurant-château-pomys,restaurants,linkedin.com/company/hôtel-restaurant-château-pomys,saint-estephe,hôtel restaurant château pomys,gironde,1-10,
,,millco-enterprises-inc-,construction,linkedin.com/company/millco-enterprises-inc-,,"millco enterprises, inc.",,1-10,
india,,aakar-exhibition---india,events services,linkedin.com/company/aakar-exhibition---india,ahmadabad,aakar exhibition - india,gujarat,1-10,
united states,,foote-and-lloyd-cpas,accounting,linkedin.com/company/foote-and-lloyd-cpas,battle creek,foote and lloyd cpas,michigan,1-10,
united kingdom,,t-j-ledward-consulting-limited,management consulting,linkedin.com/company/t-j-ledward-consulting-limited,,t j ledward consulting limited,warrington,1-10,
israel,2018,maximizing-human-potential-movement,information technology and services,linkedin.com/company/maximizing-human-potential-movement,,maximizing human potential movement,,1-10,
united kingdom,,laundrama-ltd,,linkedin.com/company/laundrama-ltd,london,laundrama ltd,greater london,1-10,
united states,,itg-research,market research,linkedin.com/company/itg-research,uniondale,itg research,new york,11-50,
,,prod-du-volant,media production,linkedin.com/company/prod-du-volant,,prod du volant,,1-10,youtube.com/c/prodduvolant
united states,2018,wellbeinginternational,civic & social organization,linkedin.com/company/wellbeinginternational,potomac,wellbeing international,maryland,1-10,wellbeingintl.org
australia,2015,travel-treasures-asia,,linkedin.com/company/travel-treasures-asia,,travel treasures asia,,51-200,traveltreasures.co.id
germany,1996,mb-verpackungstechnik,machinery,linkedin.com/company/mb-verpackungstechnik,schwieberdingen,m+b verpackungstechnik gmbh,baden-wurttemberg,51-200,mb-packaging-group.de
brazil,,andré-ferreira-fotógrafo,individual & family services,linkedin.com/company/andré-ferreira-fotógrafo,juiz de fora,andré ferreira fotógrafo,minas gerais,1-10,andreferreirafotografo.com.br
italy,2017,mpc-consultant,,linkedin.com/company/mpc-consultant,preganziol,mpc,veneto,1-10,poddighe.me
france,,huard-mathieu,real estate,linkedin.com/company/huard-mathieu,grenoble,huard mathieu,auvergne-rhône-alpes,1-10,
monaco,1998,groupe-i3s-uriel,computer & network security,linkedin.com/company/groupe-i3s-uriel,,groupe i3s / uriel,,11-50,
france,,ouest-gestion,real estate,linkedin.com/company/ouest-gestion,,ouest gestion,,1-10,
united states,,petvet-care-centers-management-llc,,linkedin.com/company/petvet-care-centers-management-llc,westport,"petvet care centers management, llc",connecticut,1001-5000,
netherlands,2019,studievereniging-sustainagear,environmental services,linkedin.com/company/studievereniging-sustainagear,'s-hertogenbosch,studievereniging sustainagear,north brabant,1-10,
,,wrx-online,,linkedin.com/company/wrx-online,,wrx online,,1-10,wrx.hu
sweden,,xverige,marketing and advertising,linkedin.com/company/xverige,,xverige,,1-10,xverige.se
canada,2006,trends-canada,,linkedin.com/company/trends-canada,toronto,trends canada,ontario,11-50,trendscanada.org
,2022,iprexys,,linkedin.com/company/iprexys,,iprexys,,1-10,iprexys.com
poland,,zaklady-naprawcze-taboru-kolejowego-w-olesnicy-sa,transportation/trucking/railroad,linkedin.com/company/zaklady-naprawcze-taboru-kolejowego-w-olesnicy-sa,,zaklady naprawcze taboru kolejowego w olesnicy sa,,1-10,zntkolesnica.com.pl
united states,,2310-apparel,retail,linkedin.com/company/2310-apparel,williamsport,2310 apparel,pennsylvania,1-10,2310apparel.com
,,rootcrops-trading-private-limited,,linkedin.com/company/rootcrops-trading-private-limited,,rootcrops trading private limited,,1-10,
canada,,unb-faculty-of-law,higher education,linkedin.com/company/unb-faculty-of-law,fredericton,unb faculty of law,new brunswick,1-10,
united states,,clement-township-hall,public safety,linkedin.com/company/clement-township-hall,alger,clement township hall,michigan,1-10,clementtwp.org
united states,1979,bme-mechanical-&-electrical-inc-,facilities services,linkedin.com/company/bme-mechanical-&-electrical-inc-,burlington,bme inc.,kentucky,51-200,bmeinc.com
united states,1978,l-young-s-insurance-agency-llc,insurance,linkedin.com/company/l-young-s-insurance-agency-llc,bellaire,"l-young's insurance agency, llc",texas,1-10,lyins.com
australia,,studio102,computer software,linkedin.com/company/studio102,ararat,studio102,victoria,1-10,studio102.net
netherlands,,praktijk-superkracht,,linkedin.com/company/praktijk-superkracht,zieriksee,praktijk superkracht,zeeland,1-10,praktijksuperkracht.nl
brazil,,prefeituravilanovadosul,government administration,linkedin.com/company/prefeituravilanovadosul,,prefeitura municipal de vila nova do sul,rio grande do sul,51-200,vilanovadosul.rs.gov.br
morocco,,compagnie-miniã¨re-de-seksaoua,,linkedin.com/company/compagnie-miniã¨re-de-seksaoua,casablanca,compagnie miniã¨re de seksaoua,grand casablanca,1-10,cms.ma
germany,2019,vm3r,media production,linkedin.com/company/vm3r,,vm3r,,1-10,vm3r.de
united states,2015,olympic-federal-solutions,professional training & coaching,linkedin.com/company/olympic-federal-solutions,pitts,olympic federal solutions,georgia,1-10,
united kingdom,,mch-couriers-limited,,linkedin.com/company/mch-couriers-limited,,mch couriers limited,kent,1-10,
turkey,,ets-teknik-makine,machinery,linkedin.com/company/ets-teknik-makine,,ets teknik makine,,1-10,
united states,2020,sportsmedicalgroup,,linkedin.com/company/sportsmedicalgroup,fort collins,sportsmedicalgroup,colorado,11-50,sportsmediaclgroup.com
united states,,abuck-building-systems-inc,construction,linkedin.com/company/abuck-building-systems-inc,alpharetta,abuck building systems inc,georgia,1-10,abuckbuildingsystems.com
united states,2010,1-2-computer-services,information technology and services,linkedin.com/company/1-2-computer-services,,1-2 computer services,arizona,1-10,12computers.com
italy,2015,matteini-sas,information technology and services,linkedin.com/company/matteini-sas,montagna,matteini di matteini elio,trentino-alto adige,1-10,matteinisas.it
united states,,buy-rite-motors,automotive,linkedin.com/company/buy-rite-motors,palestine,buy rite motors,texas,11-50,buyritemotors.net
south korea,2012,karkorea,automotive,linkedin.com/company/karkorea,,kar,,11-50,karkorea.com
united states,,ahura-construction,,linkedin.com/company/ahura-construction,san jose,ahura construction,california,1-10,ahuraconstruction.com
,2012,glr-stratégie,,linkedin.com/company/glr-stratégie,,glr stratégie,,1-10,glrstrategie.com
australia,2016,morris-accounting-services-australia,accounting,linkedin.com/company/morris-accounting-services-australia,ashfield,morris accounting services (australia),new south wales,1-10,
france,,transports-gaye,,linkedin.com/company/transports-gaye,arthez-de-bearn,transports gaye,pyrénées-atlantiques,1-10,
united states,,wonderland-enterprise-inc,consumer services,linkedin.com/company/wonderland-enterprise-inc,mansfield,wonderland enterprise inc,ohio,1-10,
india,,joint-care-hospital,electrical/electronic manufacturing,linkedin.com/company/joint-care-hospital,jaipur,joint care hospital,rajasthan,1-10,jointsreplacementindia.com
,,ober-&-beerens,law practice,linkedin.com/company/ober-&-beerens,,ober & beerens,,1-10,ober.lu
malaysia,,airtech-advance-systems-sdn-bhd,building materials,linkedin.com/company/airtech-advance-systems-sdn-bhd,shah alam,airtech advance systems sdn bhd,selangor,1-10,airtechadvance.com
united states,,fleet-feet-augusta,retail,linkedin.com/company/fleet-feet-augusta,augusta,fleet feet augusta,georgia,1-10,fleetfeetaugusta.com
united states,1965,ballard-center-ks,individual & family services,linkedin.com/company/ballard-center-ks,lawrence,ballard center ks,kansas,11-50,ballardcenter.org
india,,sterling-and-wilson-renewable-energy,renewables & environment,linkedin.com/company/sterling-and-wilson-renewable-energy,mumbai,sterling and wilson renewable energy,maharashtra,1001-5000,sterlingandwilsonre.com
united kingdom,2007,ec-forum-ltd,internet,linkedin.com/company/ec-forum-ltd,,ec forum ltd,,1-10,e-cigarette-forum.com
greece,1991,mornos-sa,,linkedin.com/company/mornos-sa,thívai,mornos sa,central greece,201-500,mo.gr
,,stiltecentrum-hoog-catharijne,hospitality,linkedin.com/company/stiltecentrum-hoog-catharijne,,stiltecentrum hoog catharijne,,1-10,stiltecentrum.nl
united states,2002,windy-city-soaring-association,,linkedin.com/company/windy-city-soaring-association,hinckley,windy city soaring association,illinois,51-200,windycitysoaring.org
netherlands,2001,xhosting,internet,linkedin.com/company/xhosting,nijmegen,xhosting,gelderland,1-10,xhosting.nl
indonesia,2010,megadata-solusi-integrasi,information technology and services,linkedin.com/company/megadata-solusi-integrasi,jakarta,megadata solusi integrasi,jakarta,201-500,megadatasolusi.com
spain,,plataforma-de-baloncesto-tridente,sports,linkedin.com/company/plataforma-de-baloncesto-tridente,,plataforma de baloncesto tridente,madrid,1-10,plataformatridente.com
kazakhstan,2013,webils-almaty,marketing and advertising,linkedin.com/company/webils-almaty,almaty,"too ""webils""",almaty qalasy,1-10,webils.kz
united states,2017,goldenrite-roofing-and-construction-company,construction,linkedin.com/company/goldenrite-roofing-and-construction-company,owasso,goldenrite roofing and construction,oklahoma,1-10,goldenriteroofing.com
india,2016,blue-leaf-interior,design,linkedin.com/company/blue-leaf-interior,hyderabad,blue leaf interior,telangana,51-200,blueleafinterior.in
switzerland,,mister-frozen,,linkedin.com/company/mister-frozen,winterthur,mister-frozen,zurich,1-10,mister-frozen.jimdo.com
united states,,shoreline-massage-therapy,,linkedin.com/company/shoreline-massage-therapy,san diego,shoreline massage therapy,california,1-10,shorelinemassagetherapy.com
cameroon,,numtek-cameroun,computer software,linkedin.com/company/numtek-cameroun,douala,numtek cameroun,littoral,11-50,numtek.cm
united states,2017,growing-wealth-with-bitcoin,,linkedin.com/company/growing-wealth-with-bitcoin,miami,growing wealth with bitcoin,florida,1-10,
,,bamedical,medical devices,linkedin.com/company/bamedical,,bamedical,,1-10,
united states,,partners-urgent-care-rancho,medical practice,linkedin.com/company/partners-urgent-care-rancho,tustin,partners urgent care-rancho,california,1-10,
united kingdom,2010,init-ltd,transportation/trucking/railroad,linkedin.com/company/init-ltd,nottingham,init ltd.,nottingham,11-50,
pakistan,,wditech,,linkedin.com/company/wditech,,wditech,,1-10,
,,autoservicio-solano-sa,retail,linkedin.com/company/autoservicio-solano-sa,,autoservicio solano sa,,11-50,
france,,dhoconsultants,management consulting,linkedin.com/company/dhoconsultants,auga,dhoconsultants,nouvelle-aquitaine,1-10,
france,,omg-holding,banking,linkedin.com/company/omg-holding,lognes,omg holding,ile-de-france,1-10,
india,2011,kaprakarma,media production,linkedin.com/company/kaprakarma,kapra,kapra,andhra pradesh,11-50,kaprakarma.com
germany,2021,studio-kom,,linkedin.com/company/studio-kom,wurzburg,studio kom. gmbh,bayern,1-10,studio-kom.de
united states,,greater-coosa-valley-chamber-of-commerce,,linkedin.com/company/greater-coosa-valley-chamber-of-commerce,childersburg,greater coosa valley chamber of commerce,alabama,1-10,gcvchamber.com
united kingdom,1992,sircleuk,facilities services,linkedin.com/company/sircleuk,,sircle,bournemouth,11-50,sircleuk.com
united states,,mobile-iv-nurses,"health, wellness and fitness",linkedin.com/company/mobile-iv-nurses,phoenix,mobile iv nurses,arizona,51-200,mobileivnurses.com
argentina,1999,estudio-contable-mcab,accounting,linkedin.com/company/estudio-contable-mcab,resistencia,estudio contable mcab,chaco,1-10,
switzerland,1938,keiser-piccioni-gmbh,construction,linkedin.com/company/keiser-piccioni-gmbh,wabern,keiser + piccioni gmbh,bern,1-10,kpmalt.ch
ukraine,2011,lantera,,linkedin.com/company/lantera,kharkiv,lantera e-commerce experts,kharkiv,1-10,lantera.co
netherlands,,logopedie-voor-jou-logopedie-voor-jou-ypenburg-,,linkedin.com/company/logopedie-voor-jou-logopedie-voor-jou-ypenburg-,haag,"logopedie voor jou, logopedie voor jou ypenburg,",limburg,1-10,logopedievoorjou.nl
united kingdom,,beauty-by-kathryn,individual & family services,linkedin.com/company/beauty-by-kathryn,buntingford,beauty by kathryn,hertford,1-10,beautybykathryn.co.uk
germany,,aw-tools,retail,linkedin.com/company/aw-tools,seelow,aw-tools,brandenburg,1-10,aw-tools.de
united kingdom,,delta-cctv,wholesale,linkedin.com/company/delta-cctv,london,delta cctv,greater london,1-10,deltacctv.co.uk
india,2019,artifeks-exterior-interior-contracting-company-p-ltd,construction,linkedin.com/company/artifeks-exterior-interior-contracting-company-p-ltd,,artifeks exterior & interior contracting company p ltd,telangana,1-10,artifeks.in
india,,dn-tattoos,retail,linkedin.com/company/dn-tattoos,ahmadabad,dn tattoos,gujarat,51-200,dntattoos.com
france,2011,srs-railroad-services,railroad manufacture,linkedin.com/company/srs-railroad-services,lys-lez-lannoy,srs rail road services,hauts-de-france,11-50,srs-railroad.com
united states,,running-brook-camp,,linkedin.com/company/running-brook-camp,waltham,running brook camps,massachusetts,51-200,runningbrook.org
united states,2017,banana-panda-inc,publishing,linkedin.com/company/banana-panda-inc,trenton,banana panda inc.,new jersey,11-50,bananapanda.com
united states,,courtney-wagner-cpa-llc,,linkedin.com/company/courtney-wagner-cpa-llc,denver,courtney wagner cpa llc,colorado,1-10,cwagnercpa.com
australia,2005,fox-real-estate,real estate,linkedin.com/company/fox-real-estate,north adelaide,fox real estate,south australia,11-50,foxrealestate.com.au
ecuador,1906,camaradecomerciodequito,non-profit organization management,linkedin.com/company/camaradecomerciodequito,quito,cámara de comercio de quito,pichincha,51-200,
,,maipha,,linkedin.com/company/maipha,,mai pha medical clinic,,1-10,
united states,,antonio-v-baute,medical practice,linkedin.com/company/antonio-v-baute,cartersville,antonio v baute,georgia,1-10,
south africa,,netcomputer,,linkedin.com/company/netcomputer,uitenhage,netcomputer,eastern cape,1-10,
germany,,kreissparkasse-ahrweiler,management consulting,linkedin.com/company/kreissparkasse-ahrweiler,bad neuenahr-ahrweiler,kreissparkasse ahrweiler,rheinland-pfalz,11-50,ksk-ahrweiler.de
,,cokomoswimwear,,linkedin.com/company/cokomoswimwear,,cokomo swimwear,,1-10,cokomoswimwear.com
germany,,motorradfrau,"leisure, travel & tourism",linkedin.com/company/motorradfrau,lindlar,motorradfrau,north rhine-westphalia,1-10,motorradfrau.de
china,,惠州天有电子有限公司,,linkedin.com/company/惠州天有电子有限公司,dongsheng,惠州天有电子有限公司,inner mongolia,1-10,virtuous68.com
united states,,suffolk-boe,government administration,linkedin.com/company/suffolk-boe,yaphank,suffolk county board of elections,new york,51-200,elections.www.elections.ny.gov
,2015,cappelli-consulting,architecture & planning,linkedin.com/company/cappelli-consulting,,"cappelli consulting, llc",,1-10,cappelliconsulting.com
united states,,pho-bambu,restaurants,linkedin.com/company/pho-bambu,rancho cucamonga,pho bambu,california,11-50,
south africa,,mabheleni-media,,linkedin.com/company/mabheleni-media,westonaria,mabheleni media,gauteng,1-10,
france,,sarl-limousin,food & beverages,linkedin.com/company/sarl-limousin,paris,sarl limousin,ile-de-france,1-10,
united states,,flowers-by-peter-perkens-flowers-inc.,retail,linkedin.com/company/flowers-by-peter-perkens-flowers-inc.,visalia,flowers by peter perkens flowers inc.,california,11-50,peterperkensflowers.com
poland,2006,nokaut.pl,internet,linkedin.com/company/nokaut.pl,gdynia,nokaut.pl,pomorskie,51-200,nokaut.pl
united states,,blacklista-run-organization-inc,individual & family services,linkedin.com/company/blacklista-run-organization-inc,los angeles,blacklista run organization inc,california,1-10,
norway,,peter-baden-productions,performing arts,linkedin.com/company/peter-baden-productions,oslo,peter baden productions,oslo,1-10,rytmerfraverdensrommet.no
poland,2001,starnet-telecom,telecommunications,linkedin.com/company/starnet-telecom,,starnet telecom,,11-50,starnettelecom.pl
united states,,the-dirty-cookie-llc,,linkedin.com/company/the-dirty-cookie-llc,denver,the dirty cookie llc,colorado,1-10,thedirtycookie.net
united states,,kdhresidential,real estate,linkedin.com/company/kdhresidential,chicago,katie himmel homes,illinois,1-10,katiehimmel.com
,,savvy-cell,,linkedin.com/company/savvy-cell,,savvy cell,,1-10,savvycell.co.za
spain,,octavio-garcia-orts,,linkedin.com/company/octavio-garcia-orts,,octavio garcia orts,,1-10,octaviogarciaorts.es
germany,,calenberger-kreditverein-calenberg-göttingen-grubenhagen-hildesheimscher-ritterschaftlicher-kreditve,banking,linkedin.com/company/calenberger-kreditverein-calenberg-göttingen-grubenhagen-hildesheimscher-ritterschaftlicher-kreditve,hanover,calenberger kreditverein calenberg-göttingen-grubenhagen-hildesheimscher ritterschaftlicher kreditve,niedersachsen,1-10,calenberger.de
germany,2007,fella-fricke-wagner,law practice,linkedin.com/company/fella-fricke-wagner,,fella fricke wagner,berlin,1-10,ffwkanzlei.de
,,test-company-llc,,linkedin.com/company/test-company-llc,,test company llc,,1-10,
united states,2018,verta-go-ventures-llc,,linkedin.com/company/verta-go-ventures-llc,north plains,"verta-go ventures, llc",oregon,1-10,
,,perky-properties-ltd,real estate,linkedin.com/company/perky-properties-ltd,,perky properties ltd,,1-10,
united kingdom,2001,max20---nhs-people,human resources,linkedin.com/company/max20---nhs-people,cheshire,max20 - nhs people,cheshire,11-50,
spain,2019,asociación-española-del-retail-aer,non-profit organization management,linkedin.com/company/asociación-española-del-retail-aer,madrid,asociación española del retail aer,madrid,1-10,asociacion-retail.com
united states,,leland-elementary-school,primary/secondary education,linkedin.com/company/leland-elementary-school,leland,leland elementary school,mississippi,11-50,lelandes-lausd-ca.schoolloop.com
belgium,,withofs-steven,defense & space,linkedin.com/company/withofs-steven,zele,"withofs, steven",oost-vlaanderen,1-10,
united kingdom,,cambo-estate-gardens,hospitality,linkedin.com/company/cambo-estate-gardens,saint andrews,cambo estate gardens,fife,1-10,
mexico,,partyus,events services,linkedin.com/company/partyus,guadalajara,partyus,jalisco,1-10,
united states,,jewett-tony-c-dds,medical practice,linkedin.com/company/jewett-tony-c-dds,chico,jewett tony c dds,california,1-10,
united states,,meridian-computers,information technology and services,linkedin.com/company/meridian-computers,apopka,meridian computers,florida,11-50,
mexico,,papelería-copiform,retail,linkedin.com/company/papelería-copiform,,papelería copiform,oaxaca,1-10,
,,centro-contábil-ltda-s-s,,linkedin.com/company/centro-contábil-ltda-s-s,,centro contábil ltda s/s,,1-10,
denmark,,jens-madsen-aps-malerfirma,,linkedin.com/company/jens-madsen-aps-malerfirma,,jens madsen aps malerfirma,,1-10,jm-malerfirma.dk
united states,2010,brooklyn-charm,arts and crafts,linkedin.com/company/brooklyn-charm,brooklyn,brooklyn charm,new york,11-50,brooklyncharm.com
,,aaroniswhatever,,linkedin.com/company/aaroniswhatever,,aaron.is.whatever.,,1-10,aaroniswhatever.com
vietnam,1991,studio-madsmonsen,photography,linkedin.com/company/studio-madsmonsen,,studio madsmonsen,,1-10,madsmonsen.com
india,2019,greecania,,linkedin.com/company/greecania,pune,greeceania mykonos farmers creamary private limited,maharashtra,11-50,greecania.com
canada,2020,ibex-nutrition-inc,,linkedin.com/company/ibex-nutrition-inc,barrie,ibex nutrition inc,ontario,1-10,ibexnutrition.ca
united states,,pk-pharmacy.inc,,linkedin.com/company/pk-pharmacy.inc,new york,pk pharmacy.inc,new york,11-50,
united kingdom,1963,mitrehousehotel,hospitality,linkedin.com/company/mitrehousehotel,london,mitre house hotel,england,11-50,mitrehousehotel.com
united states,,hilmar-travel-agency,hospitality,linkedin.com/company/hilmar-travel-agency,hilmar,hilmar travel agency,california,1-10,hilmartravel.com
brazil,,loja-fashion-kids,,linkedin.com/company/loja-fashion-kids,bariri,loja fashion kids,sao paulo,1-10,lojasfashionkids.com.br
united kingdom,,millfield-golf-club,hospitality,linkedin.com/company/millfield-golf-club,lincoln,millfield golf club,lincolnshire,1-10,millfieldgolfclub.co.uk
andorra,1998,pacific-surveys-llc,environmental services,linkedin.com/company/pacific-surveys-llc,,"pacific surveys, llc",,1-10,pacificsurveys.com
united states,,norman-speech-services-llc,medical practice,linkedin.com/company/norman-speech-services-llc,richmond,"norman speech services, llc",virginia,1-10,speech-pros.com
united states,2018,jolan-strategies,,linkedin.com/company/jolan-strategies,washington,jolan strategies,district of columbia,1-10,jolanstrategies.com
egypt,2015,chem-service-egypt,,linkedin.com/company/chem-service-egypt,,chem service egypt ( cse ),alexandria,51-200,chem-service.net
,,compliance-pills,professional training & coaching,linkedin.com/company/compliance-pills,,compliance pills,,1-10,compliancepills.com
norway,,environtec-production,,linkedin.com/company/environtec-production,notodden,environtec production,telemark,1-10,environtec.no
france,2019,la-planque-repère-d-architectes,architecture & planning,linkedin.com/company/la-planque-repère-d-architectes,nantes,la planque - repère d'architectes,pays de la loire,1-10,la-planque.com
india,,frostwood,,linkedin.com/company/frostwood,,frostwood,rajasthan,1-10,frostwood.business.site
united states,,tiller-records,music,linkedin.com/company/tiller-records,des moines,tiller records,iowa,1-10,tillerrecords.com
malaysia,1999,perfect-merchandising-services,international trade and development,linkedin.com/company/perfect-merchandising-services,kuala lumpur,perfect merchandising services,kuala lumpur,1-10,perfect-ms.com
netherlands,1927,mata-kunststoffen-b.v.,plastics,linkedin.com/company/mata-kunststoffen-b.v.,,mata kunststoffen b.v.,,11-50,mata.nl
canada,,moderno-icc,construction,linkedin.com/company/moderno-icc,burlington,moderno,ontario,1-10,maringroup.org
taiwan,2019,nueva-co-ltd,,linkedin.com/company/nueva-co-ltd,,nueva,taiwan,1-10,nueva.cc
australia,,skills-hq,education management,linkedin.com/company/skills-hq,melbourne,skills hq,victoria,1-10,skillshq.net.au
india,2021,mybsi,civil engineering,linkedin.com/company/mybsi,,bs industries,,11-50,mybsi.in
china,2010,fengyinglighting-com,,linkedin.com/company/fengyinglighting-com,guangzhou,fengyinglighting.com,guangdong,11-50,fengyinglighting.com
