,Date,Real,Predict
31656,2021-09-02,173.9499969482422,174.04591
31657,2021-09-03,173.156005859375,173.28212
31658,2021-09-07,173.90249633789062,174.0002
31659,2021-09-08,175.46449279785156,175.50446
31660,2021-09-09,176.27499389648438,176.28589
31661,2021-09-10,174.20799255371094,174.29422
31662,2021-09-13,173.45750427246094,173.57208
31663,2021-09-14,172.85850524902344,172.9918
31664,2021-09-15,172.5,172.64098
31665,2021-09-16,173.7895050048828,173.89148
31666,2021-09-17,174.41200256347656,174.49062
31667,2021-09-20,173.12600708007812,173.25327
31668,2021-09-21,167.7864990234375,167.98242
31669,2021-09-22,167.18150329589844,167.38391
31670,2021-09-23,169.00250244140625,169.18646
31671,2021-09-24,170.8000030517578,170.96873
31672,2021-09-27,171.2760009765625,171.4412
31673,2021-09-28,170.2899932861328,170.46274
31674,2021-09-29,165.79800415039062,166.01648
31675,2021-09-30,165.05599975585938,165.2717
31676,2021-10-01,164.2519989013672,164.46065
31677,2021-10-04,164.16299438476562,164.37091
31678,2021-10-05,159.48899841308594,159.66783
31679,2021-10-06,161.0500030517578,161.23642
31680,2021-10-07,163.10049438476562,163.30011
31681,2021-10-08,165.1215057373047,165.33778
31682,2021-10-11,164.43099975585938,164.64117
31683,2021-10-12,162.31500244140625,162.50912
31684,2021-10-13,162.3665008544922,162.56094
31685,2021-10-14,164.21400451660156,164.42235
31686,2021-10-15,164.9929962158203,165.20808
31687,2021-10-18,170.4510040283203,170.62245
31688,2021-10-19,172.33700561523438,172.48149
31689,2021-10-20,172.20750427246094,172.35478
31690,2021-10-21,170.7530059814453,170.9221
31691,2021-10-22,171.75050354003906,171.90782
31692,2021-10-25,166.77749633789062,166.9844
31693,2021-10-26,166.01849365234375,166.2343
31694,2021-10-27,168.80349731445312,168.98932
31695,2021-10-28,169.62449645996094,169.80286
31696,2021-10-29,172.32850646972656,172.47316
31697,2021-11-01,168.6215057373047,168.80907
31698,2021-11-02,165.90550231933594,166.12267
31699,2021-11-03,165.6374969482422,165.85796
31700,2021-11-04,169.1999969482422,169.38213
31701,2021-11-05,173.85000610351562,173.94968
31702,2021-11-08,175.94949340820312,175.97198
31703,2021-11-09,174.44900512695312,174.52623
31704,2021-11-10,178.81149291992188,178.70207
31705,2021-11-11,174.1024932861328,174.19267
31706,2021-11-12,173.625,173.7332
31707,2021-11-15,176.25750732421875,176.26903
31708,2021-11-16,177.28399658203125,177.25117
31709,2021-11-17,177.03500366210938,177.01491
31710,2021-11-18,177.4499969482422,177.40875
31711,2021-11-19,184.8029937744141,184.41455
31712,2021-11-22,183.82850646972656,183.48311
31713,2021-11-23,178.6284942626953,178.52812
31714,2021-11-24,179.0019989013672,178.8832
31715,2021-11-26,179.02049255371094,178.90079
31716,2021-11-29,175.22799682617188,175.27655
31717,2021-11-30,178.07850646972656,178.00557
31718,2021-12-01,175.35350036621094,175.39748
31719,2021-12-02,172.18600463867188,172.33377
31720,2021-12-03,171.8679962158203,172.02272
31721,2021-12-06,169.489501953125,169.66904
31722,2021-12-07,171.36849975585938,171.53302
31723,2021-12-08,176.1645050048828,176.17934
31724,2021-12-09,176.1580047607422,176.17305
31725,2021-12-10,174.17100524902344,174.2586
31726,2021-12-13,172.21200561523438,172.35918
31727,2021-12-14,169.5675048828125,169.74635
31728,2021-12-15,169.0915069580078,169.27464
31729,2021-12-16,173.31500244140625,173.435
31730,2021-12-17,168.87100219726562,169.05618
31731,2021-12-20,170.0175018310547,170.1925
31732,2021-12-21,167.07899475097656,167.28256
31733,2021-12-22,170.41700744628906,170.58873
31734,2021-12-23,171.03700256347656,171.20393
31735,2021-12-27,171.06849670410156,171.23521
31736,2021-12-28,169.66949462890625,169.84746
31737,2021-12-29,170.66099548339844,170.8308
31738,2021-12-30,169.2010040283203,169.38312
31739,2021-12-31,168.64450073242188,168.83183
31740,2022-01-03,166.7169952392578,166.92462
31741,2022-01-04,170.4044952392578,170.57631
31742,2022-01-05,167.52200317382812,167.72073
31743,2022-01-06,164.35699462890625,164.56653
31744,2022-01-07,163.25399780273438,163.45473
31745,2022-01-10,162.5540008544922,162.74973
31746,2022-01-11,161.48599243164062,161.6749
31747,2022-01-12,165.36199951171875,165.58047
31748,2022-01-13,165.20700073242188,165.42404
31749,2022-01-14,161.21400451660156,161.40134
31750,2022-01-18,162.13800048828125,162.33095
31751,2022-01-19,158.91749572753906,159.09409
31752,2022-01-20,156.2989959716797,156.46907
31753,2022-01-21,151.66749572753906,151.84073
31754,2022-01-24,142.64300537109375,142.87386
31755,2022-01-25,144.54400634765625,144.75877
31756,2022-01-26,139.98599243164062,140.18042
31757,2022-01-27,138.87249755859375,139.05342
31758,2022-01-28,139.6374969482422,139.82758
31759,2022-01-31,143.97799682617188,144.19798
31760,2022-02-01,149.57350158691406,149.75435
31761,2022-02-02,151.19349670410156,151.36813
31762,2022-02-03,150.6125030517578,150.7891
31763,2022-02-04,138.8455047607422,139.02612
31764,2022-02-07,157.63949584960938,157.81216
31765,2022-02-08,157.9355010986328,158.10895
31766,2022-02-09,161.4134979248047,161.60199
31767,2022-02-10,161.1894989013672,161.37668
31768,2022-02-11,159.0034942626953,159.18042
31769,2022-02-14,153.2935028076172,153.46349
31770,2022-02-15,155.16700744628906,155.3361
31771,2022-02-16,156.510498046875,156.68086
31772,2022-02-17,158.10049438476562,158.27441
31773,2022-02-18,154.65249633789062,154.82153
31774,2022-02-22,152.60150146484375,152.7726
31775,2022-02-23,150.19749450683594,150.37569
31776,2022-02-24,144.82699584960938,145.03928
