,Date,Real,Predict
31286,2021-05-04,169.32449340820312,169.2797
31287,2021-05-05,165.593505859375,165.54724
31288,2021-05-06,163.52699279785156,163.48845
31289,2021-05-07,165.31849670410156,165.2729
31290,2021-05-10,164.58050537109375,164.53726
31291,2021-05-11,159.52450561523438,159.51833
31292,2021-05-12,161.19549560546875,161.17305
31293,2021-05-13,157.5970001220703,157.61455
31294,2021-05-14,158.07350158691406,158.0847
31295,2021-05-17,161.14500427246094,161.123
31296,2021-05-18,163.51950073242188,163.481
31297,2021-05-19,161.61399841308594,161.58809
31298,2021-05-20,161.58999633789062,161.56429
31299,2021-05-21,162.38400268554688,162.35239
31300,2021-05-24,160.1540069580078,160.14125
31301,2021-05-25,162.24949645996094,162.21881
31302,2021-05-26,162.95249938964844,162.9172
31303,2021-05-27,163.25799560546875,163.22093
31304,2021-05-28,161.5054931640625,161.48045
31305,2021-06-01,161.15350341796875,161.1314
31306,2021-06-02,160.9324951171875,160.91234
31307,2021-06-03,161.69949340820312,161.67291
31308,2021-06-04,159.35049438476562,159.34625
31309,2021-06-07,160.31100463867188,160.29669
31310,2021-06-08,159.90049743652344,159.89032
31311,2021-06-09,163.20550537109375,163.16875
31312,2021-06-10,164.0574951171875,164.01639
31313,2021-06-11,167.4824981689453,167.43446
31314,2021-06-14,167.3415069580078,167.29344
31315,2021-06-15,169.19349670410156,169.14833
31316,2021-06-16,169.156494140625,169.11122
31317,2021-06-17,170.7624969482422,170.72363
31318,2021-06-18,174.46200561523438,174.45209
31319,2021-06-21,174.34500122070312,174.33386
31320,2021-06-22,172.697998046875,172.6718
31321,2021-06-23,175.27200317382812,175.27106
31322,2021-06-24,175.1909942626953,175.1891
31323,2021-06-25,172.45399475097656,172.42592
31324,2021-06-28,170.072998046875,170.03093
31325,2021-06-29,172.1945037841797,172.16449
31326,2021-06-30,172.40699768066406,172.37856
31327,2021-07-01,172.00799560546875,171.97667
31328,2021-07-02,171.64849853515625,171.61476
31329,2021-07-06,175.5489959716797,175.55133
31330,2021-07-07,183.78700256347656,183.9382
31331,2021-07-08,184.82899475097656,185.00607
31332,2021-07-09,186.57049560546875,186.7944
31333,2021-07-12,185.9669952392578,186.17416
31334,2021-07-13,185.9275054931641,186.13359
31335,2021-07-14,183.8679962158203,184.02116
31336,2021-07-15,184.08399963378903,184.2424
31337,2021-07-16,181.55999755859372,181.66118
31338,2021-07-19,178.68150329589844,178.72878
31339,2021-07-20,177.47950744628906,177.50789
31340,2021-07-21,178.6595001220703,178.70642
31341,2021-07-22,179.25999450683594,179.31717
31342,2021-07-23,181.9015045166016,182.00989
31343,2021-07-26,182.83200073242188,182.96088
31344,2021-07-27,184.99099731445312,185.17226
31345,2021-07-28,181.3195037841797,181.41573
31346,2021-07-29,181.51600646972656,181.61629
31347,2021-07-30,179.99600219726562,180.06639
31348,2021-08-02,166.37950134277344,166.33188
31349,2021-08-03,166.57400512695312,166.52618
31350,2021-08-04,168.31199645996094,168.26482
31351,2021-08-05,167.73599243164062,167.68813
31352,2021-08-06,168.79949951171875,168.7533
31353,2021-08-09,167.2469940185547,167.1989
31354,2021-08-10,167.093505859375,167.04543
31355,2021-08-11,166.03399658203125,165.98685
31356,2021-08-12,164.60549926757812,164.56216
31357,2021-08-13,165.1750030517578,165.12978
31358,2021-08-16,164.69850158691406,164.65483
31359,2021-08-17,164.94949340820312,164.90497
31360,2021-08-18,162.09800720214844,162.06842
31361,2021-08-19,160.06100463867188,160.04918
31362,2021-08-20,159.3874969482422,159.38284
31363,2021-08-23,159.99749755859375,159.98631
31364,2021-08-24,163.2935028076172,163.25624
31365,2021-08-25,165.28900146484375,165.24347
31366,2021-08-26,164.95899963378906,164.91443
31367,2021-08-27,165.8000030517578,165.7533
31368,2021-08-30,167.48150634765625,167.43347
31369,2021-08-31,171.07850646972656,171.04134
31370,2021-09-01,173.5395050048828,173.52052
31371,2021-09-02,173.9499969482422,173.93489
31372,2021-09-03,173.156005859375,173.1336
31373,2021-09-07,173.90249633789062,173.88693
31374,2021-09-08,175.46449279785156,175.46584
31375,2021-09-09,176.27499389648438,176.28648
31376,2021-09-10,174.20799255371094,174.19547
31377,2021-09-13,173.45750427246094,173.43776
31378,2021-09-14,172.85850524902344,172.83362
31379,2021-09-15,172.5,172.47226
31380,2021-09-16,173.7895050048828,173.77286
31381,2021-09-17,174.41200256347656,174.40157
31382,2021-09-20,173.12600708007812,173.10335
31383,2021-09-21,167.7864990234375,167.73868
31384,2021-09-22,167.18150329589844,167.13342
31385,2021-09-23,169.00250244140625,168.95679
31386,2021-09-24,170.8000030517578,170.76132
31387,2021-09-27,171.2760009765625,171.23997
31388,2021-09-28,170.2899932861328,170.24886
31389,2021-09-29,165.79800415039062,165.7513
31390,2021-09-30,165.05599975585938,165.01115
31391,2021-10-01,164.2519989013672,164.21005
31392,2021-10-04,164.16299438476562,164.12143
31393,2021-10-05,159.48899841308594,159.48322
31394,2021-10-06,161.0500030517578,161.02882
31395,2021-10-07,163.10049438476562,163.06433
31396,2021-10-08,165.1215057373047,165.07645
31397,2021-10-11,164.43099975585938,164.38834
31398,2021-10-12,162.31500244140625,162.28387
31399,2021-10-13,162.3665008544922,162.335
31400,2021-10-14,164.21400451660156,164.17221
31401,2021-10-15,164.9929962158203,164.94833
31402,2021-10-18,170.4510040283203,170.4106
31403,2021-10-19,172.33700561523438,172.30804
31404,2021-10-20,172.20750427246094,172.1776
31405,2021-10-21,170.7530059814453,170.7141
31406,2021-10-22,171.75050354003906,171.71744
